customer_age,gender,contract_type,monthly_charges,tenure,support_calls,total_usage,satisfaction_score,churn
56,Female,Month-to-Month,48.17,55,5,182,2,1
69,Female,Month-to-Month,90.61,16,5,91,1,1
46,Female,One Year,117.29,29,0,54,2,1
32,Female,One Year,38.45,49,3,29,4,1
60,Male,Month-to-Month,90.53,48,4,230,3,0
25,Male,One Year,69.94,30,2,132,2,1
38,Male,Month-to-Month,108.13,12,8,243,3,1
56,Male,Two Year,45.94,35,0,230,1,1
36,Female,One Year,92.34,11,5,12,5,1
40,Male,One Year,105.43,46,5,191,5,0
28,Female,Month-to-Month,115.02,50,9,215,3,1
28,Male,One Year,91.49,21,4,49,5,1
41,Female,One Year,74.75,21,4,68,2,1
53,Female,Two Year,85.61,5,9,71,3,1
57,Male,One Year,108.2,48,4,141,4,1
41,Male,Two Year,81.35,20,5,69,2,1
20,Male,Month-to-Month,32.73,37,7,131,2,0
39,Male,One Year,113.79,3,1,116,2,1
19,Female,Two Year,92.06,44,5,105,4,1
41,Male,Month-to-Month,90.89,33,0,244,1,1
61,Male,One Year,49.41,53,3,71,5,1
47,Female,Month-to-Month,89.3,9,9,265,3,1
55,Male,One Year,65.45,9,2,58,1,1
19,Male,Month-to-Month,88.61,4,8,168,3,1
38,Male,Month-to-Month,39.59,35,2,133,5,1
50,Male,Two Year,89.21,17,5,216,4,1
29,Male,Month-to-Month,119.95,34,0,57,2,0
39,Female,One Year,34.34,24,5,145,2,1
61,Male,One Year,117.95,32,3,210,4,1
42,Male,Two Year,66.62,1,7,259,1,1
66,Male,One Year,108.37,8,8,218,1,1
44,Male,One Year,100.41,45,3,220,3,1
59,Male,One Year,81.03,23,9,201,4,1
45,Female,Month-to-Month,96.46,47,9,53,1,1
33,Male,Month-to-Month,109.07,40,5,38,4,1
32,Female,One Year,66.37,12,0,68,5,0
64,Female,Two Year,59.43,54,3,80,2,1
68,Male,Month-to-Month,90.08,12,6,101,2,1
61,Male,Two Year,102.71,46,0,274,2,1
69,Male,One Year,98.61,47,7,229,4,1
20,Male,One Year,101.8,15,9,224,4,1
54,Female,Month-to-Month,69.2,41,5,286,3,1
68,Male,One Year,103.61,19,4,73,2,1
24,Male,Month-to-Month,40.82,26,9,254,3,1
38,Male,One Year,79.0,52,8,71,2,0
26,Male,One Year,30.52,29,1,179,3,0
56,Male,Month-to-Month,59.21,22,4,278,3,0
35,Male,Month-to-Month,62.98,40,5,276,5,1
21,Female,Month-to-Month,65.66,21,6,63,3,1
